"continent"	"country"	"Freq"
"Asia"	"Afghanistan"	5
"Europe"	"Albania"	2
"Africa"	"Algeria"	3
"America"	"Argentina"	2
"Asia"	"Armenia"	3
"Oceania"	"Australia"	3
"Europe"	"Austria"	6
"Asia"	"Azerbaijan"	4
"Europe"	"Belgium"	3
"America"	"Brazil"	2
"Europe"	"Bulgaria"	6
"America"	"Canada"	5
"Asia"	"China"	11
"America"	"Colombia"	1
"Europe"	"Croatia"	1
"Europe"	"Czechia"	6
"Europe"	"DE/CZ/PL"	1
"Europe"	"DE/DK"	1
"Europe"	"DE/F/DK"	2
"Europe"	"Denmark"	4
"Africa"	"Egypt"	2
"Africa"	"Ethiopia"	1
"Europe"	"F/PL"	1
"Europe"	"Finland"	6
"Europe"	"France"	49
"Europe"	"Georgia"	1
"Europe"	"Germany"	43
"Europe"	"Greece"	6
"Europe"	"Hungary"	14
"Asia"	"India"	8
"Asia"	"Iran"	2
"Asia"	"Israel"	12
"Europe"	"Italy"	11
"Asia"	"Japan"	7
"Africa"	"Kenya"	2
"Asia"	"KOR"	2
"Europe"	"Latvia"	1
"Asia"	"Lebanon"	1
"America"	"Mexico"	5
"Africa"	"Morocco"	2
"na"	"na"	4
"Asia"	"Nepal"	6
"Europe"	"Netherlands"	6
"Oceania"	"New Zealand"	3
"Africa"	"Niger"	1
"Asia"	"Pakistan"	6
"Europe"	"Poland"	8
"Europe"	"Portugal"	19
"Asia"	"PRK"	1
"Europe"	"Romania"	4
"Asia"	"Russian Federation"	11
"Africa"	"South Africa"	2
"Europe"	"Spain"	10
"Asia"	"SUN"	3
"Europe"	"Sweden"	6
"Europe"	"Switzerland"	6
"Asia"	"Syrian Arab Republic"	5
"Asia"	"Tajikistan"	4
"Africa"	"Tunisia"	3
"Asia"	"Turkey"	25
"Africa"	"Turkmenistan"	3
"Europe"	"Ukraine"	5
"Europe"	"United Kingdom"	23
"America"	"Uruguay"	1
"America"	"USA"	11
"Europe"	"YUG"	3
"Africa"	"Zimbabwe"	2
